company,headquarters,founders,description,sector,website,demo,contact
&AI,"San Francisco, CA, USA","Caleb Harris, Herbert Turner",AI-driven patent due diligence platform.,"AI, LegalTech, IP",https://www.tryandai.com/,,founders@tryandai.com
1849 Bio,"San Francisco, CA, USA","Jai Padmakumar, Yongjin Park","Designs microbes enabling cheap metal extraction, allowing miners to unlock value from low-quality copper and gold ores.","AI, Biotechnology, Metal Extraction, Mining, Copper, Gold",https://www.1849.bio,,intro@1849.bio
Abel Police,"San Francisco, CA, USA",Daniel Francis,Converts police body camera footage into completed police reports.,"AI, Law Enforcement, Video Analysis, Reports",http://abelpolice.com,,
Actionbase,"San Francisco, CA, USA",Sam Crombie,Makes the internet interactable through an SDK for robotic process automation (RPA).,"AI, Automation, RPA",https://actionbase.co,,
ACX,"San Francisco, CA, USA","Emmanouela Petsolari, Melina Petsolari",Recreates bacterial compounds synthetically for applications like crop pathogen elimination.,"AI, Biotechnology, Agriculture, Pathogens",https://www.acxtherapeutics.com/,,emmanouela@acxtherapeutics.com
Affil.ai,"San Francisco, CA, USA","John Ta, Vivek Olumbe",Monitors affiliate content to help companies expand marketing efforts and maximize revenue.,"AI, Marketing, Affiliate Content, Revenue",https://affil.ai/,,founders@affil.ai
AI Sell,"San Francisco, CA, USA","Jerry Liu, Jeffrey Liu",AI sales associate designed for eCommerce platforms.,"AI, eCommerce, SalesTech",https://www.aisell.com,,jerry@aisell.com
AminoAnalytica,"San Francisco, CA, USA","Matteo Peluso, Abhi Rajendran, Adam Wu","AI-powered protein design company, optimizing biotech products like enzymes and peptides.","AI, Biotechnology, Protein Design, Research",https://www.aminoanalytica.com,,founders@aminoanalytica.app
Anglera,"San Francisco, CA, USA","Amay Aggarwal, Ray Iyer",AI-powered platform managing product data for e-commerce companies.,"AI, E-commerce, Product Data, Automation",https://www.anglera.com/,https://youtu.be/D3jKEOzbD-s,amay@anglera.com
Ångström AI,"San Francisco, CA, USA","Javier Antoran, Jose Miguel Hernandez Lobato, Laurence Midgley",Uses GenAI for molecular simulations to replace wet lab experiments in drug development.,"AI, Drug Development, Molecular Simulations, GenAI",https://www.angstrom-ai.com/,https://youtu.be/EmTit8tC0TE,info@angstrom-ai.com
