Company,Headquarters,Founders,Description,Sector,Website,Demo
Abundant,"San Francisco, CA, USA","Meji Abidoye, Jesse Hu, Ke Huang",On-demand human workforce for AI agents,"Workforce Management, AI",https://abundant.ai/,https://youtu.be/o55IoVw50CQ
Aditto,"San Francisco, CA, USA","Keller Maloney, Will Jack",Let AI manage your marketing,"Marketing, AI",https://aditto.co/,https://www.loom.com/share/e7084374372343b18af1972bde1e694b?sid=3ade079e-c091-49c8-99fa-5f19169dc27f
Afternoon.co,"New York, NY, USA","Roman Zubenko, Benjamin Paik",AI Bookkeeping and tax platform for ecommerce & startup founders,"Fintech, Bookkeeping",https://afternoon.co/,https://youtu.be/BXTDlFGtYLo
Alex,,Daniel Edrisian,The Cursor for Xcode,"Developer Tools, AI",https://alexcodes.app/,https://youtu.be/CEefIxm-WdA
Andoria,"San Francisco, CA, USA","Anirudh Ramprasad, Daryl Budiman",AI customer agent that generates in-app walkthroughs on demand,"Customer Service, AI",https://andoria.ai/,
ArchiLabs,"San Francisco, CA, USA","Brian Bakerman, William Meng",AI Copilot for Architects,"Architecture, AI",https://archilabs.ai/,https://www.loom.com/share/aaa3f2c0362d4144b15663940ab512f2?sid=df0dfcbe-8c12-4ba8-8a45-a6044af825a7
Asha Health,"New York, NY, USA","Akkshay Khosla, Gokul Kumarresen",We help medical practices launch their own AI clinic,"Healthcare, AI",https://asha.health/,
Astrix Health,"New York, NY, USA","Abhinav Swaminathan, Thomas Blake",Astrix builds AI purchasing agents for healthcare providers.,"Healthcare, Supply Chain, AI",https://astrix.health/,
AutoComputer,"San Francisco, CA, USA","Madhav Singhal, Rick Sugden",Desktop RPA with AI computer use,"Automation, AI",https://autocomputer.ai/,https://youtu.be/tcFpwrvB7FE
BeerMe,"New York, NY, USA","Gray Newfield, Noah Newfield","Fun, global Venmo built on USDC","Fintech, Blockchain",https://beerme.world/,https://youtu.be/ulsKCkjobHE
Bifrost Orbital,"San Francisco, CA, USA","Onkar Singh, Geffen Avraham",24/7 and real-time connectivity for satellites,"Aerospace, Connectivity",https://bifrostorbital.com/,
Bramble,"San Francisco, CA, USA","Nimesh Chakravarthi, Daniel Hsu, Deepan Mehta",The next generation Zillow,"Real Estate, AI",https://usebramble.com/,https://youtu.be/zFCG09fxJ_E
Canvas,"San Francisco, CA, USA",Essam Sleiman,AI-Copilot for Customer Success Teams,"Customer Service, AI",https://canvas.inc/,https://www.loom.com/share/46bfe7ca3ab9464a913244acc081fcb8?sid=bb73eae6-2c27-4289-bc66-f9e41d384fb4
Cekura,,"Blake Shao, Jialiang Zhou","Keep support, marketing, and sales materials up-to-date","Marketing, Customer Success, AI",https://cekura.io/,https://youtu.be/JJR7hz3dPaQ
Chorrie,"New York, NY, USA","Christopher Schlaepfer, Jorrie Brettin",Eliminate medical claim denials & underbilling with AI,"Healthcare, AI",https://chorrie.com/,https://youtu.be/orI95bsgaio
Circlemind,,"Antonio Vespoli, Luca Pinchetti, Yuhang Song",Circlemind is an open-source RAG using knowledge graphs and PageRank.,"Developer Tools, AI",https://circlemind.co/,https://youtu.be/pGYYnYxRUHw
Coblocks,"New York, NY, USA","Nisola Shobayo, Kevin Schaich",Build data pipelines in minutes with AI,"Data Engineering, AI",https://coblocks.ai/,https://youtu.be/CwfKpDh-Zbw
Codebuff,"San Francisco, CA, USA","Brandon Chen, James Grugett",The CLI tool that writes code for you,"Developer Tools, AI",https://codebuff.com/,
CollectWise,,"Sean O'Brien, Vivek Isukapalli",Automating consumer debt collection with AI,"Fintech, Legaltech, AI",https://collectwise.com/,https://www.loom.com/share/15df08dce1ea492c911ee685aabf78e7?sid=61b9e65a-2229-4f52-be13-5d66d34ad5fb
Consus,"San Francisco, CA, USA",Eric Magliarditi,Your single source of truth for government documents,"Governance, AI",https://consusindustries.co/,https://youtu.be/ouFe09NHTo4
Crustdata,"San Francisco, CA, USA","Abhilash Chowdhary, Manmohit Grewal, Chris Pisarski",Real-time B2B data via simple APIs,"HR, Marketing, AI",https://crustdata.com/,https://youtu.be/TwUYDCrdLvk
CTGT,"San Francisco, CA, USA","Cyril Gorlla, Trevor Tuttle",Entirely New AI Stack: Efficient and Safe Alternative to LLM Ecosystem,"Compliance, AI",https://ctgt.ai/,https://www.loom.com/share/7e4948fa0ccf4256b2f7036ee8d7baf4?sid=d0dcdfd4-c659-474c-aaa5-514857472b29
Curo,"San Francisco, CA, USA","Andrew Porter, Kieran White",Electric fleets park and charge anywhere with Curo,"Transportation, Energy",https://curocharging.com/,https://youtu.be/N0jcdalLpFU
Dexter,"Berlin, Germany","Bella Wu, Vincent Garrigues, Caterina Kiehntopf",AI workflow automation for field operations,"Operations, AI",https://getdexter.co/,https://youtu.be/8Ng79Oy8YUE
Diffusion Studio,"San Francisco, CA, USA","Konstantin Paulus, Matthias Ruiz",Next Generation Canva for AI Video Editing in the Browser,"Design, AI",https://diffusion.studio/,https://youtu.be/FbMyfluvdYU
Docflow,"San Francisco, CA, USA","Michael Mounajjed, Ben Liu",We build automated scheduling software for hospitals,"Healthcare, Scheduling, AI",https://mydocflow.com/,https://youtu.be/MQqcWuxvdio
Ember Copilot,"San Francisco, CA, USA","Charlene Wang, Warren Wang",The only medical scribe that reduces claim denials by 55%,"Healthcare, AI",https://embercopilot.ai/,https://youtu.be/RUkosYD-FLQ
Encore,"San Francisco, CA, USA","Alex Ruber, Parth Chopra",Conversational search and discovery for secondhand products,"E-commerce, Retail, AI",https://shopencore.ai/,https://youtu.be/nD7YIGvNa08
Fabricate,,"Lucas Crupi, Ethan Breit",Procurement for Hardware Teams,"Supply Chain, Hardware, Manufacturing, AI",https://tryfabricate.com/,https://youtu.be/SYAAd9bGSlQ
Fix AI,"San Francisco, CA, USA","Kesav Kosana, Arav Seth",AI agents that navigate websites like real users to find bugs,"Software Testing, Developer Tools, AI",https://tryfix.ai/,https://youtu.be/7K3jRZukH8E
fixa,"San Francisco, CA, USA","Jonathan Liu, Oliver Wendell-Braly",sentry for AI voice agents,"Voice Technology, AI",https://fixa.dev/,https://youtu.be/Cnhf3Vs5Dcw
